,品牌,同義詞
0,大碩,大碩、大X、大x、X碩、x碩、大O、大o、O碩、o碩、王達昌、達昌、張翔、翔蛇、翔sir、翔Sir、翔SIR、牧翰、郭明慶、明慶、郭sir、郭Sir、郭SIR、楊莉、莉莉、任任、楊智任、智任、魔法書、提綱、運籌、🐑、🪵、周易、張衡、程逸、劉承、劉強、林禾、林碩、李昱、趙敏、張璇、程逸、周易、歐大亮、張衡、張鼎、劉承、劉強、李長綱、時越、詹森、林力
1,高點,高點、糕點、高X、高x、高O、高o、x點、X點、o點、O點、小不點、張永霖、永霖、劉邦、許誠哲、誠哲、管仲、高勝銘、勝銘、趙治勳、治勳、張政、劉明昌、明昌、蕭維文、維文、鄭泓
2,偉文,偉文、偉X、偉x、x文、X文、偉O、偉o、O文、o文
3,TKB數位學堂,tkb數位學堂、TKB數位學堂、tkb數位、TKB數位
4,志光,志光、志o、志O、志x、志X、O光、o光、X光、x光
5,百官,百官、百官網、百 官網、百X網、百x網、百O網、百o網、百X、百官O、百x、百o、陳弘
6,TKB銀行,TKB銀行、揚智
7,駿寶,駿寶、陳峰、jumbo、林元
8,洋碩,洋碩、洋X、洋x、洋O、洋o、X碩、x碩、O碩、o碩、ynso
9,巨匠,巨匠、巨匠美語、巨X、巨x、巨O、巨o、X匠、x匠、O匠、o匠
10,放洋,放洋、放羊、放X、X洋、放x、x洋、放o、o洋、放O、O洋
11,留學家,留學家
12,龍門,龍門、x門、龍x、X門、龍X、o門、龍o、O門、龍O
13,樂學網,樂學網
14,甄戰,甄戰、甄x、x戰、甄o、o戰、甄X、X戰、甄O、O戰
15,繁田塾,繁田塾、繁田、甲斐、西老師
16,永漢,永漢
17,name_JPTIP,JPTIP
18,地球村,地球村
19,旭文,旭文、志方、蔡倫
20,何必,何必
21,name_Yotta,Yotta
22,name_Jella,Jella
23,東橋,東橋、市川、佐佐木、結城、高橋、渡邊
24,王可樂,王可樂、可樂、原田
25,出口仁,出口仁
26,name_HIROSHI,HIROSHI
