,Unnamed: 0,index,id,review_id,rating,content,review_time,user_name,user_url,create_time,place_id,sentiment,origin_reply,like_count,name,review_time_日期,Preds,斷詞結果
9488,9488,16,48397,ChdDSUhNMG9nS0VJQ0FnSUNSbHZISHNnRRAB,5,"112年 台大上榜心得

一、背景：
雲林虎尾科技大學飛機機械組 95%

二、動機：
當時Cov19肆虐導致飛機維修人員需求減少，不想浪費時間故決定考試。

三、成績：
1、台大應力甲組 150分 備取5
正取門檻159分
英文（B）42
工程數學（G）75
材料力學（C）64.5

2、台大生機乙組 102分 落榜
正取門檻149分
英文（A）32    (門檻52)
工程數學（J）62
材料力學（D）40

3、交大機械甲組 147分 正取
應用力學 49
工程數學 98

4、清大動機丙組 58.75分 備28
備取門檻54.75分
科技英文 57 （25%）
材料力學 64（75%）

5、成大醫工甲組 27.5分 備4
正取門檻41分 備取門檻21分
工程力學38（50%）
工程數學 17（50%）",2023-04-01 04:24:57,謝嘉峻,https://www.google.com/maps/contrib/110546396541370602657?hl=zh-TW,2023-04-01 04:40:00.645467,22,0.0,,0.0,台北數位學堂,2023-04-01,中性,"['112年', ' ', '台大', '上榜', '心得', '\n\n一', '、', '背景', '：', '\n雲林虎尾', '科技', '大學', '飛機', '機械組', ' 95%\n\n', '二', '、', '動機', '：', '\n', '當時', 'Cov19', '肆虐', '導致', '飛機', '維修', '人員', '需求', '減少', '，', '不', '想', '浪費', '時間', '故', '決定', '考試', '。', '\n\n三', '、', '成績', '：', '\n1', '、', '台大', '應力', '甲組', ' 150', '分', ' ', '備取', '5\n', '正取', '門檻', '159', '分\n', '英文', '（', 'B', '）', '42\n', '工程', '數學', '（', 'G', '）', '75\n', '材料', '力學', '（', 'C', '）', '64.5\n\n2', '、', '台大', '生機', '乙', '組', ' 102', '分', ' ', '落榜', '\n', '正取', '門檻', '149', '分\n', '英文', '（', 'A', '）', '32', '    ', '(', '門檻', '52', ')', '\n', '工程', '數學', '（', 'J', '）', '62\n', '材料', '力學', '（', 'D', '）', '40\n\n3', '、', '交大', '機械', '甲組', ' 147', '分', ' ', '正取\n', '應用', '力學', ' 49\n', '工程', '數學', ' 98\n\n4', '、', '清大', '動機', '丙', '組', ' ', '58.75', '分', ' ', '備', '28\n', '備取', '門檻', '54.75', '分\n', '科技', '英文', ' 57', ' ', '（', '25%', '）', '\n', '材料', '力學', ' ', '64', '（', '75%', '）', '\n\n5', '、', '成大', '醫工', '甲組', ' ', '27.5', '分', ' ', '備', '4\n', '正取', '門檻', '41', '分', ' ', '備取', '門檻', '21', '分\n', '工程', '力學', '38', '（', '50%', '）', '\n', '工程', '數學', ' ', '17', '（', '50%', '）']"
9489,9489,18,48401,ChdDSUhNMG9nS0VJQ0FnSUNSbHQzQ3lnRRAB,5,"張棋樺主任詳細解說跟介紹
所以選擇大碩
希望能在這邊一次考上如願的研究所",2023-04-01 05:26:29,regan chiu,https://www.google.com/maps/contrib/103381628872961317756?hl=zh-TW,2023-04-01 05:40:00.290237,22,0.9256286198496788,,0.0,台北數位學堂,2023-04-01,正面,"['張棋樺', '主任', '詳細', '解說', '跟', '介紹', '\n', '所以', '選擇', '大碩\n', '希望', '能', '在', '這邊', '一', '次', '考上', '如願', '的', '研究所']"
9490,9490,19,48423,ChdDSUhNMG9nS0VJQ0FnSUNSMXJhTzFRRRAB,5,前台姊姊王愉婷親切專業，而試聽相關課程之後對於趙敏老師授課的專業度深感同意。,2023-04-01 09:03:37,厲哲,https://www.google.com/maps/contrib/104305859302014842686?hl=zh-TW,2023-04-01 09:40:00.359281,22,0.9885536573939194,,0.0,台北數位學堂,2023-04-01,正面,"['前台', '姊姊', '王愉婷', '親切', '專業', '，', '而', '試聽', '相關', '課程', '之後', '對於', '趙敏', '老師', '授課', '的', '專業度', '深感', '同意', '。']"
9491,9491,20,48447,ChZDSUhNMG9nS0VJQ0FnSUNScnRhMEF3EAE,5,感謝Sherry專員用心仔細的講解，分析適合的老師及報考資料,2023-04-02 08:24:52,ナミモリ,https://www.google.com/maps/contrib/108834947362299872348?hl=zh-TW,2023-04-02 08:40:00.340732,22,0.9994866016933572,,0.0,台北數位學堂,2023-04-02,正面,"['感謝', 'Sherry', '專員', '用心', '仔細', '的', '講解', '，', '分析', '適合', '的', '老師', '及', '報考', '資料']"
9492,9492,21,48456,ChdDSUhNMG9nS0VJQ0FnSUNScnV2WG5nRRAB,5,-,2023-04-02 10:30:35,李大維,https://www.google.com/maps/contrib/109208777371856608014?hl=zh-TW,2023-04-02 10:40:00.369566,22,0.5,,0.0,台北數位學堂,2023-04-02,中性,['-']
9495,9495,87,48410,ChZDSUhNMG9nS0VJQ0FnSUNSbHMtSk5REAE,5,-,2023-04-01 06:40:46,314-36-徐筱媛,https://www.google.com/maps/contrib/101915841935693829462?hl=zh-TW,2023-04-01 07:19:00.528128,57,0.5,,0.0,嘉南甄戰,2023-04-01,中性,['-']
9496,9496,109,48422,ChdDSUhNMG9nS0VJQ0FnSUNSMXBhNTd3RRAB,5,-,2023-04-01 08:59:43,アンダーテイカー,https://www.google.com/maps/contrib/110767151791552691077?hl=zh-TW,2023-04-01 09:19:00.329741,57,0.5,,0.0,嘉南甄戰,2023-04-01,中性,['-']
9497,9497,131,48451,ChZDSUhNMG9nS0VJQ0FnSUNScnA2bmNnEAE,5,-,2023-04-02 08:42:42,張開程,https://www.google.com/maps/contrib/111279436153927969393?hl=zh-TW,2023-04-02 09:19:00.368417,57,0.5,,0.0,嘉南甄戰,2023-04-02,中性,['-']
9498,9498,153,48452,ChZDSUhNMG9nS0VJQ0FnSUNScnA2WEpnEAE,5,-,2023-04-02 08:42:38,蕭壕士,https://www.google.com/maps/contrib/103646602761813682808?hl=zh-TW,2023-04-02 09:19:00.394368,57,0.5,,0.0,嘉南甄戰,2023-04-02,中性,['-']
9499,9499,175,48453,ChZDSUhNMG9nS0VJQ0FnSUNScnA2MVNREAE,5,-,2023-04-02 08:42:12,李冠億,https://www.google.com/maps/contrib/112540162542410411691?hl=zh-TW,2023-04-02 09:19:00.419092,57,0.5,,0.0,嘉南甄戰,2023-04-02,中性,['-']
9500,9500,197,48461,ChdDSUhNMG9nS0VJQ0FnSUNSdnVlUTF3RRAB,5,-,2023-04-03 05:17:14,S306 41董宸妤,https://www.google.com/maps/contrib/102166855973687442254?hl=zh-TW,2023-04-03 05:19:00.369586,57,0.5,,0.0,嘉南甄戰,2023-04-03,中性,['-']
9501,9501,219,48441,ChdDSUhNMG9nS0VJQ0FnSUNSdHRYdGlRRRAB,2,-,2023-04-01 14:15:54,YZ C,https://www.google.com/maps/contrib/115859946511967324049?hl=zh-TW,2023-04-01 15:54:00.247619,195,0.5,,0.0,菁英國際語言教育中心 - 桃園站前：多益衝刺TOEIC / 雅思英文補習班IELTS / 專業托福留學班TOEFL / SAT / 日文會話補習班 / 日文檢定JLPT/ 英文會話 / 商用英文,2023-04-01,中性,['-']
9503,9503,263,48471,ChdDSUhNMG9nS0VJQ0FnSUNSX3BIeHFRRRAB,5,-,2023-04-03 08:22:37,呂忠誠,https://www.google.com/maps/contrib/104054750993922500716?hl=zh-TW,2023-04-03 18:47:00.317722,110,0.5,,0.0,"志光數位學院-虎尾分校-公職,高中升大學補習班",2023-04-03,中性,['-']
9504,9504,285,48478,ChZDSUhNMG9nS0VJQ0FnSUNSbHFtZkFnEAE,5,-,2023-04-01 04:34:04,Chuting Cheng,https://www.google.com/maps/contrib/107077653201804605764?hl=zh-TW,2023-04-03 21:35:00.300984,98,0.5,,0.0,志光數位學院 台中旗艦店,2023-04-01,中性,['-']
9505,9505,307,48480,ChZDSUhNMG9nS0VJQ0FnSUNSZ1p5NGZREAE,5,-,2023-04-03 11:17:40,謝迎溱,https://www.google.com/maps/contrib/116687772244980177671?hl=zh-TW,2023-04-03 22:35:00.356615,90,0.5,,0.0,台中志光公職補習班/高普考/司法/警察/消防/國營/台電/郵局/教甄/警專/轉學考,2023-04-03,中性,['-']
9506,9506,329,48481,ChdDSUhNMG9nS0VJQ0FnSUNSZ1p5NzJBRRAB,5,-,2023-04-03 11:17:39,wayne y,https://www.google.com/maps/contrib/115868206246450864355?hl=zh-TW,2023-04-03 22:35:00.403945,90,0.5,,0.0,台中志光公職補習班/高普考/司法/警察/消防/國營/台電/郵局/教甄/警專/轉學考,2023-04-03,中性,['-']
9507,9507,351,48482,ChZDSUhNMG9nS0VJQ0FnSUNSX3ZYS0pnEAE,5,-,2023-04-03 09:01:51,陳旻宣,https://www.google.com/maps/contrib/114595821744459203325?hl=zh-TW,2023-04-03 22:35:00.475172,90,0.5,,0.0,台中志光公職補習班/高普考/司法/警察/消防/國營/台電/郵局/教甄/警專/轉學考,2023-04-03,中性,['-']
9508,9508,373,48483,ChZDSUhNMG9nS0VJQ0FnSUNSX3ZXNlB3EAE,5,-,2023-04-03 09:01:50,林映彣,https://www.google.com/maps/contrib/116965044119201571891?hl=zh-TW,2023-04-03 22:35:00.522206,90,0.5,,0.0,台中志光公職補習班/高普考/司法/警察/消防/國營/台電/郵局/教甄/警專/轉學考,2023-04-03,中性,['-']
9509,9509,395,48484,ChZDSUhNMG9nS0VJQ0FnSUNSX3VYN1h3EAE,5,-,2023-04-03 08:54:46,Vanessa Kao,https://www.google.com/maps/contrib/105466475267736038348?hl=zh-TW,2023-04-03 22:35:00.586027,90,0.5,,0.0,台中志光公職補習班/高普考/司法/警察/消防/國營/台電/郵局/教甄/警專/轉學考,2023-04-03,中性,['-']
9510,9510,417,48485,ChdDSUhNMG9nS0VJQ0FnSUNSX3BxS3NRRRAB,5,-,2023-04-03 07:31:08,Jason Chang,https://www.google.com/maps/contrib/115064397617385049373?hl=zh-TW,2023-04-03 22:35:00.646690,90,0.5,,0.0,台中志光公職補習班/高普考/司法/警察/消防/國營/台電/郵局/教甄/警專/轉學考,2023-04-03,中性,['-']
9511,9511,439,48486,ChZDSUhNMG9nS0VJQ0FnSUNSX3FyVkpnEAE,5,-,2023-04-03 07:27:48,林佩瑜,https://www.google.com/maps/contrib/113562849500617584986?hl=zh-TW,2023-04-03 22:35:00.683640,90,0.5,,0.0,台中志光公職補習班/高普考/司法/警察/消防/國營/台電/郵局/教甄/警專/轉學考,2023-04-03,中性,['-']
