Google Map顯示名稱(全名),Google Map url,新的url(不需調整請填x)
嘉南甄戰學習顧問,"https://www.google.com.tw/maps/place/%E5%98%89%E5%8D%97%E7%94%84%E6%88%B0%E5%AD%B8%E7%BF%92%E9%A1%A7%E5%95%8F/@22.9975784,120.2078908,19z/data=!3m1!4b1!4m5!3m4!1s0x346e768b0757ff11:0xc6334e1dc9cf8eac!8m2!3d22.9975784!4d120.208438?hl=en",
台中甄戰學習顧問中心(大碩復興教室),"https://www.google.com/maps/place/%E5%8F%B0%E4%B8%AD%E7%94%84%E6%88%B0%E5%AD%B8%E7%BF%92%E9%A1%A7%E5%95%8F%E4%B8%AD%E5%BF%83(%E5%A4%A7%E7%A2%A9%E5%BE%A9%E8%88%88%E6%95%99%E5%AE%A4)/@24.134245,120.681997,15z/data=!4m5!3m4!1s0x0:0xc63573b4cbb2f17b!8m2!3d24.134245!4d120.681997?hl=en-US",
台北甄戰學習顧問中心,"https://www.google.com/maps/place/%E5%8F%B0%E5%8C%97%E7%94%84%E6%88%B0%E5%AD%B8%E7%BF%92%E9%A1%A7%E5%95%8F%E4%B8%AD%E5%BF%83/@25.047152,121.512522,15z/data=!4m5!3m4!1s0x0:0xb850cf6b061f4531!8m2!3d25.047152!4d121.512522?hl=en-US",
高雄甄戰學習顧問,"https://www.google.com/maps/place/%E9%AB%98%E5%B1%8F%E7%94%84%E6%88%B0%E5%AD%B8%E7%BF%92%E9%A1%A7%E5%95%8F%E4%B8%AD%E5%BF%83/@22.6354383,120.3043742,18.75z/data=!4m5!3m4!1s0x0:0x25c4566072d4b807!8m2!3d22.6359816!4d120.3041751?hl=en-US",
桃園甄戰學習顧問,"https://www.google.com/maps/place/%E6%A1%83%E5%9C%92%E7%94%84%E6%88%B0%E5%AD%B8%E7%BF%92%E9%A1%A7%E5%95%8F%E4%B8%AD%E5%BF%83/@24.989899,121.312038,15z/data=!4m5!3m4!1s0x0:0x9d2ce6edaba2829b!8m2!3d24.9898985!4d121.3120379?hl=en-US",
甄戰一點通影音課程中心/大碩教育書局,"https://www.google.com/maps/place/%E7%94%84%E6%88%B0%E4%B8%80%E9%BB%9E%E9%80%9A%E5%BD%B1%E9%9F%B3%E8%AA%B2%E7%A8%8B%E4%B8%AD%E5%BF%83%2F%E5%A4%A7%E7%A2%A9%E6%95%99%E8%82%B2%E6%9B%B8%E5%B1%80/@25.0453625,121.5112122,17z/data=!3m1!4b1!4m6!3m5!1s0x3442a96f9b5581ed:0x4663dc7bebb18d21!8m2!3d25.0453625!4d121.5112122!16s%2Fg%2F11q4k8krfg?hl=zh-Hant-TW",
台灣知識庫-TKB購課網,"https://www.google.com.tw/maps/place/%E5%8F%B0%E7%81%A3%E7%9F%A5%E8%AD%98%E5%BA%AB-TKB%E8%B3%BC%E8%AA%B2%E7%B6%B2/@25.0459191,121.5103998,17z/data=!3m2!4b1!5s0x3442a90cde4fb75d:0xfe3958ec685bbc7a!4m6!3m5!1s0x3442a90ce7ad3edd:0x767017a137c009f4!8m2!3d25.0459143!4d121.5125885!16s%2Fg%2F11bzy88dc9?hl=zh-TW&authuser=0",
TKB屏東數位學堂/大碩研究所/百官網公職/洋碩美語,"https://www.google.com/maps/place/TKB%E6%95%B8%E4%BD%8D%E5%AD%B8%E5%A0%82%2F%E5%A4%A7%E7%A2%A9%E7%A0%94%E7%A9%B6%E6%89%80-%E5%B1%8F%E6%9D%B1%E9%A4%A8/@22.669591,120.48745,15z/data=!4m5!3m4!1s0x0:0x5d35e4a7b50ae728!8m2!3d22.669591!4d120.4874499?hl=en-US",
大碩研究所-高雄大碩,"https://www.google.com/maps/place/%E5%A4%A7%E7%A2%A9%E7%A0%94%E7%A9%B6%E6%89%80/@22.6360134,120.3029245,16.5z/data=!4m5!3m4!1s0x0:0x98072e38a58f0785!8m2!3d22.6359816!4d120.3041751?hl=en-US",
TKB高雄數位學堂(百官網公職),"https://www.google.com/maps/place/TKB+digital+school/@22.635982,120.304175,15z/data=!4m5!3m4!1s0x0:0x5467c9e4131771c5!8m2!3d22.6359816!4d120.3041751?hl=en-US",
臺灣知識庫股份有限公司 /TKB楠梓數位學堂/大碩研究所,"https://www.google.com/maps/place/TKB%E6%A5%A0%E6%A2%93%E6%95%B8%E4%BD%8D%E5%AD%B8%E5%A0%82/@22.727203,120.324765,15z/data=!4m5!3m4!1s0x0:0xcf476ce7a3d10564!8m2!3d22.727203!4d120.3247652?hl=en-US",
TKB北高數位學堂,"https://www.google.com/maps/place/TKB%E5%8C%97%E9%AB%98%E6%95%B8%E4%BD%8D%E5%AD%B8%E5%A0%82/@22.726067,120.294632,15z/data=!4m5!3m4!1s0x0:0xaac12773420b86d4!8m2!3d22.7260674!4d120.2946324?hl=en-US",
大碩研究所-高雄大碩,"https://www.google.com/maps/place/%E5%A4%A7%E7%A2%A9%E7%A0%94%E7%A9%B6%E6%89%80/@22.6360134,120.3029245,16.5z/data=!4m5!3m4!1s0x0:0x98072e38a58f0785!8m2!3d22.6359816!4d120.3041751?hl=en-US",
大碩研究所-高雄大碩,"https://www.google.com/maps/place/%E5%A4%A7%E7%A2%A9%E7%A0%94%E7%A9%B6%E6%89%80/@22.6360134,120.3029245,16.5z/data=!4m5!3m4!1s0x0:0x98072e38a58f0785!8m2!3d22.6359816!4d120.3041751?hl=en-US",
高雄龍門轉學考,"https://www.google.com/maps/place/%E9%BE%8D%E9%96%80%E8%BD%89%E5%AD%B8%E8%80%83/@22.635982,120.304175,10z/data=!4m5!3m4!1s0x0:0x2c37dcaa5f6c89bd!8m2!3d22.6359816!4d120.3041751?hl=en-US",
TKB新竹數位學堂/百官網,"https://www.google.com/maps/place/TKB%E6%96%B0%E7%AB%B9%E6%95%B8%E4%BD%8D%E5%AD%B8%E5%A0%82%2F%E7%99%BE%E5%AE%98%E7%B6%B2/@24.8035938,120.9736629,21z/data=!4m5!3m4!1s0x346835c240c90c65:0xdef95c625e91df07!8m2!3d24.803587!4d120.9737539?hl=en-US",
新竹大碩研究所,"https://www.google.com/maps/place/%E6%96%B0%E7%AB%B9%E5%A4%A7%E7%A2%A9%E7%A0%94%E7%A9%B6%E6%89%80/@24.8035292,120.9739808,20z/data=!4m5!3m4!1s0x346835c240c90c65:0x9873b77565f9bf77!8m2!3d24.8035667!4d120.9737682?hl=en-US",
新竹大碩研究所,"https://www.google.com/maps/place/%E6%96%B0%E7%AB%B9%E5%A4%A7%E7%A2%A9%E7%A0%94%E7%A9%B6%E6%89%80/@24.8035292,120.9739808,20z/data=!4m5!3m4!1s0x346835c240c90c65:0x9873b77565f9bf77!8m2!3d24.8035667!4d120.9737682?hl=en-US",
